AREA,PERIMETER,SURF_GEO_T,A1,A2,A3,A4,A5,SURF_GEO_G,Shape_Length,Shape_Area
81628.5,1404.81005859375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,1404.8142281370767,81628.46875
3842.030029296875,435.7040100097656,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,435.7036061149318,3842.03125
250245.0,64527.3984375,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,64527.369082687306,250245.1875
356705.0,4970.97021484375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,4970.97006468073,356705.046875
4385.419921875,430.3389892578125,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,430.3385390482722,4385.421875
4226820.0,50690.69921875,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,50690.67568226547,4226818.0625
1759670.0,39766.5,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,39766.50995447946,1759670.46875
4764030.0,71717.6015625,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,71717.57448485594,4764030.3125
151330.0,3184.340087890625,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,3184.343087184383,151329.90625
63777.8984375,2272.260009765625,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,streams,2272.256926028151,63777.921875
45764.19921875,1249.6500244140625,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,streams,1249.649880873679,45764.234375
2588.389892578125,313.01800537109375,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,313.01756828078993,2588.390625
653.18798828125,199.94900512695312,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,199.94931318623244,653.1875
1557.1600341796875,196.80499267578125,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,196.8049284918115,1557.15625
